job_title,headcount,median_comp,mean_comp,min_comp,max_comp,total_payroll
SENIOR CLERK-ELECTIONS,16,57372.0,59928.75,47088.0,69912.0,958860.0
INTAKE AIDE,1,56124.0,56124.0,56124.0,56124.0,56124.0
COLLECTIONS REPRESENTATIVE,13,56124.0,56578.153846153844,51936.0,64488.0,735516.0
AIRPORT INFORMATION AMBASSADOR,22,56124.0,54920.72727272727,51936.0,58764.0,1208256.0
DISTRICT CLERK,17,56112.0,57470.82352941176,53520.0,71412.0,977004.0
CLERK III - EXCLD,1,55848.0,55848.0,55848.0,55848.0,55848.0
COMPLAINT INTAKE SPECIALIST,1,55272.0,55272.0,55272.0,55272.0,55272.0
GENERAL LABORER - AVIATION,30,54662.4,54662.4,54662.4,54662.4,1639872.0
GENERAL LABORER - DSS,167,54662.4,55853.106586826354,54662.4,74547.2,9327468.8
COMPUTER APPL ANALYST I-ELECTIONS,2,54624.0,54624.0,54624.0,54624.0,109248.0
SUPERVISING ENFORCEMENT TECH,2,54084.0,54084.0,48828.0,59340.0,108168.0
EMERGENCY MEDICAL TECHNICIAN,4,53532.0,53532.0,53532.0,53532.0,214128.0
ELECTION EQUIPMENT & SUPPLY SPEC II,4,52632.0,53451.0,48264.0,60276.0,213804.0
PARKING ENFORCEMENT AIDE,108,51348.0,56514.11111111111,46824.0,85500.0,6103524.0
INQUIRY AIDE III,13,51108.0,53797.846153846156,47364.0,84804.0,699372.0
LIBRARY CLERK,110,48864.0,54401.01818181818,44460.0,77352.0,5984112.0
WATER QUALITY INSPECTOR,3,48864.0,48864.0,48864.0,48864.0,146592.0
CLERK - BD OF ELECTIONS,25,48264.0,46519.2,40620.0,60276.0,1162980.0
FOREMAN OF CUSTODIAL WORKERS,6,47424.0,48689.333333333336,47424.0,55016.0,292136.0
REPROGRAPHICS TECHNICIAN II,2,46560.0,46560.0,46560.0,46560.0,93120.0
TRAFFIC ENFORCEMENT TECH,32,44460.0,44720.625,40560.0,59340.0,1431060.0
ELECTION EQUIPMENT & SUPPLY SPEC I,4,44274.0,45483.0,42672.0,50712.0,181932.0
CUSTODIAL WORKER,89,41600.0,43422.92134831461,39520.0,54184.0,3864640.0
STUDENT INTERN - MAYOR'S FELLOWS,8,40040.0,40040.0,40040.0,40040.0,320320.0
TACTICAL REVIEW ANALYST-CPD,2,38480.0,38480.0,38480.0,38480.0,76960.0
LIBRARIAN I - HOURLY,1,37013.6,37013.6,37013.6,37013.6,37013.6
LIBRARY ASSOCIATE - HOURLY,69,33592.0,33592.0,33592.0,33592.0,2317848.0
ANIMAL CARE CLERK - HOURLY,4,30586.4,30586.4,30586.4,30586.4,122345.6
STUDENT INTERN - ALDERMANIC,29,30212.0,30212.0,30212.0,30212.0,876148.0
AVIATION SECURITY OFFICER - HOURLY,5,29910.4,29910.4,29910.4,29910.4,149552.0
TRAFFIC CONTROL AIDE-HOURLY,187,26561.6,26750.168983957217,26561.6,61824.0,5002281.6
SENIOR LIBRARY CLERK - HOURLY,1,23732.8,23732.8,23732.8,23732.8,23732.8
LIBRARY CLERK - HOURLY,61,23732.8,23732.8,23732.8,23732.8,1447700.8
ALDERMANIC AIDE,95,21320.0,22569.58736842105,8632.0,48880.0,2144110.8
STUDENT INTERN,50,19760.0,20604.48,17264.0,36400.0,1030224.0
LIBRARY PAGE,153,19344.0,19199.351633986927,17960.8,19344.0,2937500.8
POLICE CADET,15,17264.0,17264.0,17264.0,17264.0,258960.0
HOSPITALITY WORKER,46,17264.0,17264.0,17264.0,17264.0,794144.0
PROGRAM AIDE,9,16848.0,16986.666666666668,16848.0,17264.0,152880.0
SENIOR COMPANION,60,4919.2,4919.2,4919.2,4919.2,295152.0
FOSTER GRANDPARENT,121,4919.2,4919.2,4919.2,4919.2,595223.2
LAW CLERK,17,199.2,5245.270588235295,199.2,30212.0,89169.6
